Date,Price,Open,High,Low,Vol.,Change %
11/16/25,0.8827,0.883,0.8834,0.8822,,0.06%
11/14/25,0.8822,0.8819,0.8868,0.8812,,0.03%
11/13/25,0.8819,0.8828,0.8845,0.8814,,-0.10%
11/12/25,0.8828,0.8807,0.884,0.8802,,0.24%
11/11/25,0.8807,0.8772,0.8815,0.8768,,0.39%
11/10/25,0.8773,0.8789,0.8805,0.8768,,-0.18%
11/7/25,0.8789,0.879,0.8818,0.8781,,-0.01%
11/6/25,0.879,0.8807,0.8821,0.8786,,-0.19%
11/5/25,0.8807,0.8818,0.8832,0.8798,,-0.12%
11/4/25,0.8818,0.8767,0.8823,0.8762,,0.57%
11/3/25,0.8768,0.8774,0.8787,0.8762,,-0.01%
10/31/25,0.8769,0.8793,0.8819,0.8768,,-0.27%
10/30/25,0.8793,0.8792,0.8815,0.8786,,0.00%
10/29/25,0.8793,0.878,0.882,0.8775,,0.16%
10/28/25,0.8779,0.8732,0.8792,0.8724,,0.54%
10/27/25,0.8732,0.8733,0.8742,0.8717,,-0.01%
10/24/25,0.8733,0.8718,0.875,0.8705,,0.17%
10/23/25,0.8718,0.8694,0.8723,0.8681,,0.29%
10/22/25,0.8693,0.8675,0.8715,0.8669,,0.21%
10/21/25,0.8675,0.8684,0.8696,0.8669,,-0.12%
10/20/25,0.8685,0.8687,0.8697,0.8675,,0.07%
10/17/25,0.8679,0.8701,0.8726,0.8674,,-0.25%
10/16/25,0.8701,0.8691,0.8706,0.8663,,0.12%
10/15/25,0.8691,0.8714,0.8723,0.8683,,-0.26%
10/14/25,0.8714,0.8679,0.8724,0.8665,,0.41%
10/13/25,0.8678,0.8698,0.8721,0.8672,,-0.23%
10/10/25,0.8698,0.8692,0.8727,0.8684,,0.07%
10/9/25,0.8692,0.8671,0.87,0.8669,,0.21%
10/8/25,0.8674,0.8683,0.8687,0.8654,,-0.10%
10/7/25,0.8683,0.8684,0.8707,0.8676,,-0.01%
10/6/25,0.8684,0.8711,0.8733,0.8672,,-0.31%
