Date,Open,High,Low,Close,UK_GDP,EURO_GDP,EURO_Balance_Payments,GBP_Balance_Payments,GBP_trade_balance,EUR_trade_balance
2005-09-16,0.6768,0.679,0.6746,0.6765,353424,2310122.3,,-9630,-1974,1736.9
2005-09-19,0.6747,0.6759,0.6723,0.6735,353424,2310122.3,,-9630,-1974,1736.9
2005-09-20,0.6734,0.6753,0.6725,0.6736,353424,2310122.3,,-9630,-1974,1736.9
2005-09-21,0.6737,0.6763,0.6727,0.675,353424,2310122.3,,-9630,-1974,1736.9
2005-09-22,0.675,0.68,0.6743,0.6786,353424,2310122.3,,-9630,-1974,1736.9
2005-09-23,0.6788,0.6801,0.6769,0.6778,353424,2310122.3,,-9630,-1974,1736.9
2005-09-26,0.6791,0.6801,0.6774,0.6787,353424,2310122.3,,-9630,-1974,1736.9
2005-09-27,0.6785,0.6809,0.6781,0.6799,353424,2310122.3,,-9630,-1974,1736.9
2005-09-28,0.6799,0.6823,0.6788,0.6807,353424,2310122.3,,-9630,-1974,1736.9
2005-09-29,0.6809,0.6836,0.6807,0.6832,353424,2310122.3,,-9630,-1974,1736.9
2005-09-30,0.6831,0.6846,0.6808,0.6815,353424,2310122.3,,-9630,-1974,1736.9
2005-10-03,0.6823,0.6827,0.678,0.6795,358384,2326175.8,,-9027,-1930,784.4
2005-10-04,0.6793,0.6799,0.6768,0.6774,358384,2326175.8,,-9027,-1930,784.4
2005-10-05,0.6775,0.6798,0.677,0.6794,358384,2326175.8,,-9027,-1930,784.4
2005-10-06,0.6796,0.6856,0.6783,0.6845,358384,2326175.8,,-9027,-1930,784.4
2005-10-07,0.6847,0.689,0.6843,0.6882,358384,2326175.8,,-9027,-1930,784.4
2005-10-10,0.6884,0.6911,0.6865,0.6872,358384,2326175.8,,-9027,-1930,784.4
2005-10-11,0.6874,0.6885,0.6855,0.6865,358384,2326175.8,,-9027,-1930,784.4
2005-10-12,0.6869,0.6878,0.6855,0.6863,358384,2326175.8,,-9027,-1930,784.4
2005-10-13,0.6863,0.6872,0.682,0.6843,358384,2326175.8,,-9027,-1930,784.4
2005-10-14,0.6847,0.6866,0.6823,0.6825,358384,2326175.8,,-9027,-1930,784.4
2005-10-17,0.6833,0.6877,0.6817,0.6852,358384,2326175.8,,-9027,-1930,784.4
2005-10-18,0.6854,0.6862,0.6822,0.6828,358384,2326175.8,,-9027,-1930,784.4
2005-10-19,0.6831,0.684,0.6787,0.6792,358384,2326175.8,,-9027,-1930,784.4
2005-10-20,0.6795,0.6806,0.6759,0.6772,358384,2326175.8,,-9027,-1930,784.4
2005-10-21,0.6775,0.6794,0.6751,0.6752,358384,2326175.8,,-9027,-1930,784.4
2005-10-24,0.6761,0.6787,0.6748,0.6772,358384,2326175.8,,-9027,-1930,784.4
2005-10-25,0.6773,0.6788,0.6756,0.6787,358384,2326175.8,,-9027,-1930,784.4
2005-10-26,0.6787,0.6812,0.6779,0.6794,358384,2326175.8,,-9027,-1930,784.4
2005-10-27,0.6798,0.6816,0.6777,0.6807,358384,2326175.8,,-9027,-1930,784.4
2005-10-28,0.6809,0.6826,0.6785,0.6801,358384,2326175.8,,-9027,-1930,784.4
2005-10-31,0.6799,0.6804,0.6761,0.6767,358384,2326175.8,,-9027,-1930,784.4
2005-11-01,0.6772,0.6813,0.6764,0.6805,358384,2326175.8,,-9027,-2451,11.0
2005-11-02,0.6807,0.6819,0.6786,0.679,358384,2326175.8,,-9027,-2451,11.0
2005-11-03,0.6795,0.6805,0.6739,0.6743,358384,2326175.8,,-9027,-2451,11.0
2005-11-04,0.6747,0.6777,0.6739,0.6752,358384,2326175.8,,-9027,-2451,11.0
2005-11-07,0.6757,0.6778,0.6742,0.6767,358384,2326175.8,,-9027,-2451,11.0
2005-11-08,0.6765,0.6772,0.6728,0.6754,358384,2326175.8,,-9027,-2451,11.0
2005-11-09,0.6758,0.6767,0.6737,0.6747,358384,2326175.8,,-9027,-2451,11.0
2005-11-10,0.6748,0.676,0.6704,0.6711,358384,2326175.8,,-9027,-2451,11.0
2005-11-11,0.6713,0.6737,0.6703,0.673,358384,2326175.8,,-9027,-2451,11.0
2005-11-14,0.6728,0.6748,0.6717,0.6724,358384,2326175.8,,-9027,-2451,11.0
2005-11-15,0.6729,0.6762,0.672,0.6753,358384,2326175.8,,-9027,-2451,11.0
2005-11-16,0.6755,0.6812,0.6749,0.6798,358384,2326175.8,,-9027,-2451,11.0
2005-11-17,0.6798,0.684,0.6781,0.6837,358384,2326175.8,,-9027,-2451,11.0
2005-11-18,0.6837,0.6858,0.6811,0.685,358384,2326175.8,,-9027,-2451,11.0
2005-11-21,0.6855,0.6882,0.6821,0.6825,358384,2326175.8,,-9027,-2451,11.0
2005-11-22,0.6829,0.6869,0.6826,0.6859,358384,2326175.8,,-9027,-2451,11.0
2005-11-23,0.6861,0.688,0.6837,0.6852,358384,2326175.8,,-9027,-2451,11.0
2005-11-24,0.6858,0.6863,0.6829,0.684,358384,2326175.8,,-9027,-2451,11.0
2005-11-25,0.6842,0.6848,0.6826,0.6838,358384,2326175.8,,-9027,-2451,11.0
2005-11-28,0.6837,0.687,0.6826,0.6845,358384,2326175.8,,-9027,-2451,11.0
2005-11-29,0.6848,0.6869,0.6832,0.6854,358384,2326175.8,,-9027,-2451,11.0
2005-11-30,0.6856,0.686,0.6799,0.6813,358384,2326175.8,,-9027,-2451,11.0
2005-12-01,0.6818,0.6823,0.6756,0.6778,358384,2326175.8,,-9027,-2531,6665.3
2005-12-02,0.678,0.6783,0.6748,0.6756,358384,2326175.8,,-9027,-2531,6665.3
2005-12-05,0.6757,0.6781,0.6753,0.6764,358384,2326175.8,,-9027,-2531,6665.3
2005-12-06,0.6769,0.6799,0.6749,0.6767,358384,2326175.8,,-9027,-2531,6665.3
2005-12-07,0.6768,0.6781,0.6751,0.6753,358384,2326175.8,,-9027,-2531,6665.3
2005-12-08,0.6756,0.6774,0.6732,0.674,358384,2326175.8,,-9027,-2531,6665.3
2005-12-09,0.6742,0.6747,0.6723,0.6729,358384,2326175.8,,-9027,-2531,6665.3
2005-12-12,0.673,0.6754,0.6719,0.6732,358384,2326175.8,,-9027,-2531,6665.3
2005-12-13,0.6731,0.6765,0.6726,0.6744,358384,2326175.8,,-9027,-2531,6665.3
2005-12-14,0.6748,0.6796,0.6741,0.6768,358384,2326175.8,,-9027,-2531,6665.3
2005-12-15,0.677,0.6793,0.6755,0.6783,358384,2326175.8,,-9027,-2531,6665.3
2005-12-16,0.6785,0.6789,0.6766,0.6776,358384,2326175.8,,-9027,-2531,6665.3
2005-12-19,0.6796,0.6818,0.6776,0.6812,358384,2326175.8,,-9027,-2531,6665.3
2005-12-20,0.6814,0.682,0.6745,0.6765,358384,2326175.8,,-9027,-2531,6665.3
2005-12-21,0.6763,0.6797,0.6751,0.6787,358384,2326175.8,,-9027,-2531,6665.3
2005-12-22,0.6787,0.684,0.6774,0.6826,358384,2326175.8,,-9027,-2531,6665.3
2005-12-23,0.6833,0.6857,0.6822,0.6842,358384,2326175.8,,-9027,-2531,6665.3
2005-12-26,0.6841,0.6861,0.682,0.6833,358384,2326175.8,,-9027,-2531,6665.3
2005-12-27,0.6839,0.6856,0.6823,0.6846,358384,2326175.8,,-9027,-2531,6665.3
2005-12-28,0.6848,0.6909,0.6844,0.6892,358384,2326175.8,,-9027,-2531,6665.3
2005-12-29,0.6895,0.6901,0.6855,0.6868,358384,2326175.8,,-9027,-2531,6665.3
2005-12-30,0.6869,0.6893,0.6845,0.6877,358384,2326175.8,,-9027,-2531,6665.3
2006-01-02,0.6876,0.6886,0.6846,0.6861,362595,2348122.5,,-12536,-3388,16.3
2006-01-03,0.6868,0.6899,0.685,0.6883,362595,2348122.5,,-12536,-3388,16.3
2006-01-04,0.6883,0.6901,0.6862,0.6895,362595,2348122.5,,-12536,-3388,16.3
2006-01-05,0.6896,0.6913,0.6877,0.6897,362595,2348122.5,,-12536,-3388,16.3
2006-01-06,0.6899,0.6909,0.6852,0.6864,362595,2348122.5,,-12536,-3388,16.3
2006-01-09,0.6867,0.6873,0.6829,0.6849,362595,2348122.5,,-12536,-3388,16.3
2006-01-10,0.6847,0.6851,0.6823,0.6834,362595,2348122.5,,-12536,-3388,16.3
2006-01-11,0.6836,0.6888,0.6833,0.6871,362595,2348122.5,,-12536,-3388,16.3
2006-01-12,0.6873,0.6882,0.6819,0.6838,362595,2348122.5,,-12536,-3388,16.3
2006-01-13,0.6837,0.6848,0.6807,0.6832,362595,2348122.5,,-12536,-3388,16.3
2006-01-16,0.6836,0.6865,0.683,0.6851,362595,2348122.5,,-12536,-3388,16.3
2006-01-17,0.6856,0.6882,0.684,0.6847,362595,2348122.5,,-12536,-3388,16.3
2006-01-18,0.6849,0.6878,0.6845,0.6866,362595,2348122.5,,-12536,-3388,16.3
2006-01-19,0.6868,0.6889,0.6861,0.6875,362595,2348122.5,,-12536,-3388,16.3
2006-01-20,0.6875,0.6886,0.6842,0.6852,362595,2348122.5,,-12536,-3388,16.3
2006-01-23,0.6858,0.6893,0.6853,0.6886,362595,2348122.5,,-12536,-3388,16.3
2006-01-24,0.6886,0.6895,0.6865,0.6876,362595,2348122.5,,-12536,-3388,16.3
2006-01-25,0.688,0.6891,0.685,0.6861,362595,2348122.5,,-12536,-3388,16.3
2006-01-26,0.6861,0.6869,0.6846,0.686,362595,2348122.5,,-12536,-3388,16.3
2006-01-27,0.6858,0.687,0.6831,0.6843,362595,2348122.5,,-12536,-3388,16.3
2006-01-30,0.6845,0.6858,0.6828,0.6834,362595,2348122.5,,-12536,-3388,16.3
2006-01-31,0.6837,0.6851,0.6814,0.6831,362595,2348122.5,,-12536,-3388,16.3
2006-02-01,0.6832,0.6836,0.6789,0.6797,362595,2348122.5,,-12536,-3259,6.6
2006-02-02,0.6799,0.6807,0.6784,0.6795,362595,2348122.5,,-12536,-3259,6.6
2006-02-03,0.6795,0.6827,0.6778,0.682,362595,2348122.5,,-12536,-3259,6.6
2006-02-06,0.6827,0.6858,0.682,0.6844,362595,2348122.5,,-12536,-3259,6.6
2006-02-07,0.6846,0.687,0.6841,0.6867,362595,2348122.5,,-12536,-3259,6.6
2006-02-08,0.6865,0.688,0.6853,0.6862,362595,2348122.5,,-12536,-3259,6.6
2006-02-09,0.6866,0.6888,0.6862,0.688,362595,2348122.5,,-12536,-3259,6.6
2006-02-10,0.6881,0.6885,0.6818,0.682,362595,2348122.5,,-12536,-3259,6.6
2006-02-13,0.6825,0.6846,0.6819,0.6831,362595,2348122.5,,-12536,-3259,6.6
2006-02-14,0.6835,0.6872,0.6829,0.6862,362595,2348122.5,,-12536,-3259,6.6
2006-02-15,0.6863,0.6874,0.6819,0.6828,362595,2348122.5,,-12536,-3259,6.6
2006-02-16,0.6831,0.6859,0.6825,0.6837,362595,2348122.5,,-12536,-3259,6.6
2006-02-17,0.6841,0.6861,0.6832,0.685,362595,2348122.5,,-12536,-3259,6.6
2006-02-20,0.6853,0.6864,0.684,0.6843,362595,2348122.5,,-12536,-3259,6.6
2006-02-21,0.6847,0.6849,0.6811,0.6819,362595,2348122.5,,-12536,-3259,6.6
2006-02-22,0.6823,0.6837,0.6817,0.6832,362595,2348122.5,,-12536,-3259,6.6
2006-02-23,0.6829,0.6838,0.6794,0.6802,362595,2348122.5,,-12536,-3259,6.6
2006-02-24,0.6806,0.6815,0.6793,0.6802,362595,2348122.5,,-12536,-3259,6.6
2006-02-27,0.6807,0.682,0.679,0.6809,362595,2348122.5,,-12536,-3259,6.6
2006-02-28,0.6811,0.6823,0.679,0.6794,362595,2348122.5,,-12536,-3259,6.6
2006-03-01,0.6796,0.6816,0.6792,0.6811,362595,2348122.5,,-12536,-2196,20740.2
2006-03-02,0.6812,0.6869,0.6808,0.686,362595,2348122.5,,-12536,-2196,20740.2
