"DATE","TIME PERIOD","Current account balance, calendar and seasonally adj (BPS.M.Y.I9.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)"
"2013-01-31","2013Jan","6793.155"
"2013-02-28","2013Feb","12787.203"
"2013-03-31","2013Mar","20120.808"
"2013-04-30","2013Apr","14494.880"
"2013-05-31","2013May","16796.909"
"2013-06-30","2013Jun","19312.310"
"2013-07-31","2013Jul","13170.160"
"2013-08-31","2013Aug","16210.164"
"2013-09-30","2013Sep","11601.148"
"2013-10-31","2013Oct","15561.002"
"2013-11-30","2013Nov","20261.119"
"2013-12-31","2013Dec","21793.004"
"2014-01-31","2014Jan","17909.208"
"2014-02-28","2014Feb","16833.773"
"2014-03-31","2014Mar","13053.731"
"2014-04-30","2014Apr","15411.683"
"2014-05-31","2014May","14338.778"
"2014-06-30","2014Jun","13713.087"
"2014-07-31","2014Jul","21326.738"
"2014-08-31","2014Aug","22617.575"
"2014-09-30","2014Sep","24049.704"
"2014-10-31","2014Oct","28133.339"
"2014-11-30","2014Nov","24564.238"
"2014-12-31","2014Dec","28779.864"
"2015-01-31","2015Jan","45133.204"
"2015-02-28","2015Feb","22278.014"
"2015-03-31","2015Mar","16099.501"
"2015-04-30","2015Apr","22197.629"
"2015-05-31","2015May","29115.975"
"2015-06-30","2015Jun","4119.921"
"2015-07-31","2015Jul","31669.985"
"2015-08-31","2015Aug","28112.960"
"2015-09-30","2015Sep","27278.410"
"2015-10-31","2015Oct","24712.992"
"2015-11-30","2015Nov","26007.748"
"2015-12-31","2015Dec","29875.281"
"2016-01-31","2016Jan","33852.006"
"2016-02-29","2016Feb","24743.244"
"2016-03-31","2016Mar","28309.556"
"2016-04-30","2016Apr","36007.874"
"2016-05-31","2016May","33235.649"
"2016-06-30","2016Jun","30427.191"
"2016-07-31","2016Jul","29940.352"
"2016-08-31","2016Aug","28059.404"
"2016-09-30","2016Sep","29070.318"
"2016-10-31","2016Oct","27192.293"
"2016-11-30","2016Nov","29437.620"
"2016-12-31","2016Dec","32257.822"
"2017-01-31","2017Jan","22020.835"
"2017-02-28","2017Feb","31137.537"
"2017-03-31","2017Mar","35384.460"
"2017-04-30","2017Apr","12253.882"
"2017-05-31","2017May","20302.676"
"2017-06-30","2017Jun","21519.344"
"2017-07-31","2017Jul","34353.984"
"2017-08-31","2017Aug","39869.960"
"2017-09-30","2017Sep","42753.662"
"2017-10-31","2017Oct","38459.456"
"2017-11-30","2017Nov","40637.010"
