"Title","BoP Current Account Balance SA £m"
"CDID","HBOP"
"Source dataset ID","PNBP"
"PreUnit","£"
"Unit","m"
"Release date","30-09-2025"
"Next release","22 December 2025"
"Important notes",
"1946","-153"
"1947","-311"
"1948","96"
"1949","48"
"1950","353"
"1951","-312"
"1952","248"
"1953","222"
"1954","180"
"1955","-90"
"1956","268"
"1957","291"
"1958","394"
"1959","207"
"1960","-196"
"1961","94"
"1962","202"
"1963","175"
"1964","-324"
"1965","-34"
"1966","152"
"1967","-273"
"1968","-272"
"1969","439"
"1970","769"
"1971","1071"
"1972","86"
"1973","-1146"
"1974","-3374"
"1975","-1752"
"1976","-1016"
"1977","-298"
"1978","837"
"1979","-953"
"1980","1804"
"1981","4914"
"1982","2346"
"1983","1433"
"1984","-1073"
"1985","-253"
"1986","-3288"
"1987","-6602"
"1988","-18272"
"1989","-23447"
"1990","-18975"
"1991","-7691"
"1992","-9385"
"1993","-8101"
"1994","-1517"
"1995","-3244"
"1996","-2403"
"1997","-1600"
"1998","-3044"
"1999","-22375"
"2000","-20462"
"2001","-20496"
"2002","-23759"
"2003","-23083"
"2004","-30713"
"2005","-27938"
"2006","-45881"
"2007","-57613"
"2008","-61545"
"2009","-47615"
"2010","-44505"
"2011","-27230"
"2012","-53657"
"2013","-80767"
"2014","-90298"
"2015","-92206"
"2016","-105151"
"2017","-70875"
"2018","-80842"
"2019","-55862"
"2020","-57800"
"2021","-17560"
"2022","-49447"
"2023","-98257"
"2024","-63195"
"1955 Q1","-22"
"1955 Q2","-16"
"1955 Q3","-12"
"1955 Q4","-40"
"1956 Q1","32"
"1956 Q2","71"
"1956 Q3","71"
"1956 Q4","94"
"1957 Q1","35"
"1957 Q2","64"
"1957 Q3","80"
"1957 Q4","112"
"1958 Q1","137"
"1958 Q2","58"
"1958 Q3","124"
"1958 Q4","75"
"1959 Q1","38"
"1959 Q2","74"
"1959 Q3","80"
"1959 Q4","15"
"1960 Q1","-10"
"1960 Q2","-78"
"1960 Q3","-68"
"1960 Q4","-40"
"1961 Q1","12"
"1961 Q2","-21"
"1961 Q3","71"
"1961 Q4","32"
"1962 Q1","53"
"1962 Q2","68"
"1962 Q3","40"
"1962 Q4","41"
"1963 Q1","87"
"1963 Q2","46"
"1963 Q3","40"
"1963 Q4","2"
"1964 Q1","-60"
"1964 Q2","-45"
"1964 Q3","-101"
"1964 Q4","-118"
"1965 Q1","18"
"1965 Q2","-15"
"1965 Q3","-27"
"1965 Q4","-10"
"1966 Q1","-34"
"1966 Q2","6"
"1966 Q3","6"
"1966 Q4","174"
"1967 Q1","59"
"1967 Q2","-43"
"1967 Q3","-28"
"1967 Q4","-261"
"1968 Q1","-112"
"1968 Q2","-82"
"1968 Q3","-22"
"1968 Q4","-56"
"1969 Q1","33"
"1969 Q2","103"
"1969 Q3","173"
"1969 Q4","130"
"1970 Q1","315"
"1970 Q2","153"
"1970 Q3","84"
"1970 Q4","217"
"1971 Q1","207"
"1971 Q2","262"
"1971 Q3","352"
"1971 Q4","250"
"1972 Q1","125"
"1972 Q2","140"
"1972 Q3","-161"
"1972 Q4","-18"
"1973 Q1","-239"
"1973 Q2","-115"
"1973 Q3","-357"
"1973 Q4","-435"
"1974 Q1","-753"
"1974 Q2","-901"
"1974 Q3","-842"
"1974 Q4","-878"
"1975 Q1","-469"
"1975 Q2","-351"
"1975 Q3","-724"
"1975 Q4","-208"
"1976 Q1","132"
"1976 Q2","-334"
"1976 Q3","-476"
"1976 Q4","-338"
"1977 Q1","-387"
"1977 Q2","-401"
"1977 Q3","224"
"1977 Q4","266"
"1978 Q1","-118"
"1978 Q2","450"
"1978 Q3","98"
"1978 Q4","407"
"1979 Q1","-656"
"1979 Q2","-132"
"1979 Q3","167"
"1979 Q4","-332"
"1980 Q1","-252"
"1980 Q2","-416"
"1980 Q3","868"
"1980 Q4","1604"
"1981 Q1","2779"
"1981 Q2","1520"
"1981 Q3","-40"
"1981 Q4","655"
"1982 Q1","1016"
"1982 Q2","-56"
"1982 Q3","233"
"1982 Q4","1153"
"1983 Q1","1162"
"1983 Q2","-447"
"1983 Q3","772"
"1983 Q4","-54"
"1984 Q1","903"
"1984 Q2","-1084"
"1984 Q3","-900"
"1984 Q4","8"
"1985 Q1","-1057"
"1985 Q2","483"
"1985 Q3","315"
"1985 Q4","6"
"1986 Q1","477"
"1986 Q2","-879"
"1986 Q3","-1773"
"1986 Q4","-1113"
"1987 Q1","101"
"1987 Q2","-1511"
"1987 Q3","-1867"
"1987 Q4","-3325"
"1988 Q1","-3788"
"1988 Q2","-3919"
"1988 Q3","-4031"
"1988 Q4","-6534"
"1989 Q1","-5455"
"1989 Q2","-6086"
"1989 Q3","-6695"
"1989 Q4","-5211"
"1990 Q1","-5997"
"1990 Q2","-6018"
"1990 Q3","-3426"
"1990 Q4","-3534"
"1991 Q1","-2646"
"1991 Q2","-1391"
"1991 Q3","-2165"
"1991 Q4","-1489"
"1992 Q1","-1728"
"1992 Q2","-2493"
"1992 Q3","-2872"
"1992 Q4","-2292"
"1993 Q1","-1801"
"1993 Q2","-2741"
